Title,Date,Age,Interests,Tags,Gender,Country,Entities,Emotions,Names,"Potential Visitors"
"USDA announces $8 million initiative to combat invasive blue catfish in Chesapeake Bay","Aug 07, 2025 03:28 PM",25-34,"Business & Industrial, Health & Fitness, News, Science, People & Society","Invasive Species, Chesapeake Bay, Agriculture, Environmental Policy",Male,us,"Chesapeake Bay, USDA, blue catfish",Trust,"Brooke Rollins, Sarah Elfreth, Christian Olaniran",1
"New international tariffs now in effect","Aug 07, 2025 01:36 PM",25-34,"Business & Industrial, Finance, Law & Government, News, Technology","Tariffs, International Trade, Economy, Policy",Male,us,"Tariffs, International Trade, Economy",Anticipation,"Janet Yellen, Peter Navarro",1
"Court sides with Castle Pines in McDonalds development dispute","Aug 07, 2025 05:17 AM",35-44,"Business & Industrial, Law & Government, News, People & Society, Real Estate","Court Ruling, Development Dispute, McDonald's, Castle Pines",Male,us,"Castle Pines, CP Commercial, Douglas County District Court",Happiness,"Douglas Gilbert, Michael Penny, Olivia Young",1
"More ""plant destroyer"" water mold species discovered in Minnesota","Aug 07, 2025 01:48 AM",25-34,"Science, Health & Fitness, Home & Garden, News, Hobbies & Leisure","Plant Pathology, Research, Agriculture, Environmental Science",Male,us,"University of Minnesota, phytophthora, trees, plants",Concern,"Nick Rajtar, Adam",1
"Manatee spotted on Cape Cod for first time in nearly a decade","Aug 07, 2025 12:53 AM",25-34,"Arts & Entertainment, Health & Fitness, News, People & Society, Science","Wildlife, Conservation, Marine Life, Manatee",Male,us,"Manatee, Cape Cod, International Fund for Animal Welfare",Concern,"Erin Burke, Neal J. Riley",1
"NYC district attorneys will get $17M in new funding to beef up staffing, investigations: Adams","Aug 06, 2025 10:57 PM",25-34,"Business & Industrial, Law & Government, News, People & Society, Finance","Funding, District Attorneys, Cybercrime, Public Safety",Male,us,"New York City, District Attorneys, Cybercrime, Public Safety",Happiness,"Eric Adams, Darcel Clark, Alvin Bragg, Melinda Katz, Michael McMahon, Eric Gonzalez",1
"Kilauea volcano erupts out 300-foot lava fountain during latest episode","Aug 06, 2025 10:57 PM",25-34,"Arts & Entertainment, News, Science, Travel, Hobbies & Leisure","Volcano, Eruption, Kilauea, Hawaii",Male,us,"Kilauea, Halemaʻumaʻu crater, U.S. Geological Survey",Anticipation,"U.S. Geological Survey, Hawaiian Volcano Observatory",1
"This weekend's Parkway East closure is a preview of a longer closure coming next summer","Aug 07, 2025 02:03 PM",25-34,"News, Business & Industrial, Health & Fitness, Autos & Vehicles, Travel","Traffic, Construction, Road Closure, PennDOT",Male,us,"Parkway East, PennDOT, Squirrel Hill Tunnel",Anticipation,"Doug Thompson, John Shumway",2
"Heat, humidity ramp up in Twin Cities Thursday","Aug 07, 2025 01:50 PM",25-34,"News, Health & Fitness, Science, Lifestyle & Hobbies, Travel","Weather, Storms, Meteorology, Heat",Male,us,"Twin Cities, Weather, Thunderstorms",Anticipation,"Joseph Dames",2
"United Airlines lifts ground stop that affected several cities","Aug 07, 2025 01:36 PM",25-34,"News, Business & Industrial, Travel, Autos & Vehicles, People & Society","United Airlines, Ground Stop, Travel News, Aviation",Male,us,"United Airlines, Ground Stop, Travel Disruption",Anticipation,"United Airlines, FAA",2
"Greektown Revitalization Project updates","Aug 07, 2025 01:36 PM",25-34,"Business & Industrial, News, Real Estate, People & Society, Travel","Urban Development, Community, Revitalization",Male,us,"Greektown, Revitalization Project, City Council",Anticipation,"Mayor, City Council, Local Business Owners",2
"Pleasant Raven's game conditions are in Baltimore's forecast","Aug 07, 2025 11:27 AM",25-34,"News, Sports, Health & Fitness, Hobbies & Leisure, Travel","Weather, Baltimore, Ravens, Forecast",Male,us,"Baltimore, M&T Bank Stadium, First Alert Forecast",Anticipation,Cutter,2
"Kenney's executive order to rename Columbus Day is invalid, court rules","Aug 07, 2025 05:57 AM",25-34,"News, Law & Government, People & Society, Politics, Business & Industrial","Court Ruling, Columbus Day, Indigenous Peoples' Day, Philadelphia",Male,us,"Philadelphia, Columbus Day, Indigenous Peoples' Day, Pennsylvania Commonwealth Court",Anticipation,"Jim Kenney, Patricia A. McCollough, Mark Squilla, Tom Ignudo",2
"Warmer, brighter Thursday in Philly area; nice summer weekend ahead","Aug 07, 2025 05:57 AM",25-34,"News, Health & Fitness, Lifestyle & Hobbies, Travel, Sports","Weather, Forecast, Philadelphia, Summer",Male,us,"Philadelphia, Weather, Summer",Happiness,N/A,2
"Trump admin axes Biden approval of &#8216;irresponsible&#8217; wind farm in Idaho","Aug 07, 2025 02:57 AM",25-34,"News, Business & Industrial, Politics, Environment, Technology","Wind Energy, Trump Administration, Renewable Energy, Environmental Policy",Male,us,"Lava Ridge Wind Project, Bureau of Land Management, Minidoka National Historic Site",Anger,"Doug Burgum, Robyn Achilles, Jason Grumet",2
"Anti-Israel activist Mahmoud Khalil argues Oct. 7 terror attack was ‘desperate attempt’ by Palestinians to ‘break the cycle’","Aug 07, 2025 02:57 AM",25-34,"News, People & Society, Politics, Arts & Entertainment, Health & Fitness","Politics, Activism, Israel, Hamas",Male,us,"Hamas, Israel, Palestinians, Ezra Klein",Anticipation,"Mahmoud Khalil, Ezra Klein",2
"Ghislaine Maxwell will be barred from service puppy training program at lax new lockup over child sex abuse record","Aug 07, 2025 02:57 AM",25-34,"News, Business & Industrial, Travel, Health & Fitness, Technology","United Airlines, FAA, Flight Delays, Technology Issue",Male,us,"United Airlines, FAA, Newark Liberty International Airport",Anticipation,"United Airlines, Federal Aviation Administration",2
"Rescuers save 3 from Antarctica base after braving 24-hours of darkness, sub-zero temperatures","Aug 07, 2025 02:09 AM",25-34,"News, Science, Health & Fitness, People & Society, Travel","Rescue, Antarctica, Medical Evacuation, RNZAF",Male,us,"RNZAF, McMurdo Station, United Nations Science Foundation",Trust,"Melissa Sweeney, Andy Scott",2
"Queens residents say unofficial airport lots take up valuable street parking","Aug 07, 2025 01:49 AM",25-34,"News, People & Society, Business & Industrial, Home & Garden, Autos & Vehicles","Parking Issues, Community Concerns, Local News, Airport",Male,us,"Queens, JFK Airport, Purchase Park 2 Fly, Drivo Rent-a-Car",Frustration,"Imran Isshack, Jag Preet, Rashpal Singh, Lisa Rozner, Kay Kadirov",2
"Minnesota sees spike in overdoses involving sedatives","Aug 07, 2025 01:48 AM",25-34,"Health & Fitness, News, People & Society, Business & Industrial, Law & Government","Health Advisory, Overdose, Sedatives, Naloxone",Male,us,"Minnesota Department of Health, Avivo, xylazine, fentanyl",Concern,"Ashley Grams, Deepa McGriff, Jason Peterson, John Tribbett",2
"Boil water notice issued to some Malibu residents","Aug 07, 2025 01:38 AM",25-34,"News, Health & Fitness, People & Society, Home & Garden, Business & Industrial","Water Safety, Public Health",Male,us,"Malibu, LA County Waterworks, Solstice Canyon Road",Concern,"Matthew Rodriguez",2
"Ground stop issued for United flights in multiple cities, including Chicago","Aug 07, 2025 12:56 AM",25-34,"News, Business & Industrial, Travel, Health & Fitness, Technology","Breaking News, United Airlines, Flight Delays, Technology Issue",Male,us,"United Airlines, Chicago O'Hare International Airport, Denver, Houston, San Francisco, Newark",Anticipation,"Sara Tenenbaum",2
"Hulk Hogan's Funeral: Family and Friends Remember the Wrestling Legend","Aug 06, 2025 11:52 PM",35-44,"Arts & Entertainment, People & Society, Sports, Health & Fitness, News","Wrestling, Memorial, Hulk Hogan, Family",Male,us,"Hulk Hogan, WWE, Indian Rocks Baptist Church",Sadness,"Hulk Hogan, Terry Bollea, Linda Hogan, Nick Hogan, Brooke Hogan, Vince McMahon, Triple H",2
"US auctioning off seized $325M Russian superyacht with helipad, gym and a spa","Aug 06, 2025 10:57 PM",25-34,"Arts & Entertainment, Business & Industrial, Finance, News, People & Society","Auction, Russian Yacht, Seized Assets, Luxury",Male,us,"Amadea, U.S. Government, National Maritime Services",Anticipation,"Donald Trump, Vladimir Putin, Suleiman Kerimov, Eduard Khudainatov",2
"Part of Constitution vanishes from government website due to &#8216;error&#8217;","Aug 06, 2025 10:57 PM",25-34,"News, Law & Government, Business & Industrial, People & Society, Technology","Constitution, Government, Coding Error, Library of Congress",Male,us,"Constitution, Article I, Library of Congress",Anticipation,"President Trump, Library of Congress",2
"US journalist who went missing for six days on Norwegian glacier hike rescued","Aug 06, 2025 10:57 PM",35-44,"Arts & Entertainment, Health & Fitness, News, People & Society, Travel","Rescue, Journalism, Adventure, Climate Change",Male,us,"Norway, Folgefonna National Park, Red Cross",Happiness,"Alec Luhn, Veronika Silchenko",2
"Trump’s Envoy Gets No Peace Deal from Yet More Putin Talks","Aug 06, 2025 10:11 PM",35-44,"News, Politics, Business & Industrial, People & Society, Law & Government","Politics, Diplomacy, International Relations",Male,us,"Trump, Putin, Peace Deal",Disgust,"Donald Trump, Vladimir Putin",2
"Charlie Kirk Comes Up With Bonkers Solution to Housing Crisis","Aug 06, 2025 10:11 PM",25-34,"Business & Industrial, News, Politics, Real Estate, People & Society","Housing Crisis, Politics, Solutions",Male,us,"Housing Crisis, Charlie Kirk, Politics",Anticipation,"Charlie Kirk",2
"Italy approves $15.5 billion project to build world’s longest suspension bridge from mainland to Sicily","Aug 06, 2025 10:08 PM",25-34,"Business & Industrial, News, Science, Technology, Travel","Infrastructure, Engineering, Italy, Transportation",Male,it,"Strait of Messina Bridge, Webuild, Italy",Anticipation,"Matteo Salvini, Giorgia Meloni, Pietro Salini",2
"Russia strikes Ukraine gas hub ahead of winter in &#8216;cynical&#8217; attack, Zelensky says","Aug 06, 2025 10:08 PM",25-34,"News, Politics, Business & Industrial, Law & Government, People & Society","Sanctions, Russia, Ukraine, Diplomacy",Male,us,"US sanctions, Russian oil, Vladimir Putin",Anticipation,"Vladimir Putin, Steve Witkoff",2
"A rodeo in Massachusetts? Here's where you can find it.","Aug 07, 2025 12:55 PM",25-34,"Arts & Entertainment, Hobbies & Leisure, Sports, People & Society, Travel","Rodeo, Bull Riding, Barrel Racing, New England",Female,us,"New England Rodeo, Bull Riding, Barrel Racing",Happiness,"Elias DaSilva, Jordyn Jagolinzer",3
"Trump claims Howard Stern&#8217;s SiriusXM show &#8216;went down&#8217; for this reason","Aug 07, 2025 06:58 AM",25-34,"Arts & Entertainment, News, People & Society, Politics, Business & Industrial","Politics, Celebrity, Media, Trump",Male,us,"Howard Stern, SiriusXM, Donald Trump",Anticipation,"Howard Stern, Donald Trump, Kamala Harris",3
